State,Chances
Alabama,Safe R
Alaska,Likely R
Arizona,Toss-up
Arkansas,Safe R
California,Safe D
Colorado,Safe D
Connecticut,Safe D
Delaware,Safe D
District of Columbia,Safe D
Florida,Likely R
Georgia,Toss-up
Hawaii,Safe D
Idaho,Safe R
Illinois,Safe D
Indiana,Safe R
Iowa,Likely R
Kansas,Safe R
Kentucky,Safe R
Louisiana,Safe R
Maine,Likely D
Maryland,Safe D
Massachusetts,Safe D
Michigan,Leans D
Minnesota,Likely D
Mississippi,Safe R
Missouri,Safe R
Montana,Safe R
Nebraska,Safe R
Nevada,Toss-up
New Hampshire,Leans D
New Jersey,Safe D
New Mexico,Likely D
New York,Safe D
North Carolina,Leans R
North Dakota,Safe R
Ohio,Likely R
Oklahoma,Safe R
Oregon,Safe D
Pennsylvania,Leans D
Rhode Island,Safe D
South Carolina,Safe R
South Dakota,Safe R
Tennessee,Safe R
Texas,Likely R
Utah,Safe D
Vermont,Safe D
Virginia,Likely D
Washington,Safe D
West Virginia,Safe R
Wisconsin,Toss-up
Wyoming,Safe R